"ID";"SIREN";"Organisation_name";"Type_of_org";"zip_code";"City";"Department_code";"Department_name";"Region";"categorie_entreprise";"etablissements";"creation_date";"juridical_nature";"is_sse";"is_mission_driven"
85;407701572;"ASS  ON SE REGALE";"Associations";38100;"GRENOBLE";"38";"ISERE";"AUVERGNE RHONE ALPES";NA;"1";"1996-02-19";"9220";"TRUE";"FALSE"
86;441982014;"NGANDA MWANA";"Associations";74000;"ANNECY";"74";"HAUTE SAVOIE";"AUVERGNE RHONE ALPES";NA;"1";"2002-02-26";"9220";"TRUE";"FALSE"
87;433990041;"ASSOCIATION PLANETE ART ET SCIENCE";"Associations";42740;"DOIZIEUX";"42";"LOIRE";"AUVERGNE RHONE ALPES";NA;"1";"2000-12-18";"9220";"TRUE";"FALSE"
88;453257222;"LUZ";"Associations";83610;"COLLOBRIERES";"83";"VAR";"PROVENCE ALPES COTE D AZUR";NA;"1";"2001-10-03";"9220";"TRUE";"FALSE"
89;488028358;"JONATHAN PIERRES VIVANTES";"Associations";26200;"MONTELIMAR";"26";"DROME";"AUVERGNE RHONE ALPES";NA;"1";"2001-12-11";"9220";"TRUE";"FALSE"
90;490021789;"ASS LI PETARDIE SAUTAREU";"Associations";84390;"SAULT";"84";"VAUCLUSE";"PROVENCE ALPES COTE D AZUR";NA;"1";"1982-04-19";"9220";"TRUE";"FALSE"
91;508288909;"ASSOCIATION CULTURELLE ET SOCIALE AS SALAM";"Associations";13001;"MARSEILLE 1";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"2005-04-08";"9220";"TRUE";"FALSE"
92;518520614;"QUINTETTE A MUSES";"Associations";69400;"VILLEFRANCHE-SUR-SAONE";"69";"RHONE";"AUVERGNE RHONE ALPES";NA;"1";"2009-10-14";"9220";"TRUE";"FALSE"
93;523647113;"INSTITUT D'ETUDES APPLIQUEES DES CIVILISATIONS ET DES ESPACES MEDITERRANEENS";"Associations";20228;"LURI";"2B";"HAUTE CORSE";"CORSE";NA;"1";"2006-10-02";"9220";"TRUE";"FALSE"
94;751111394;"RANDONNEES LOISIRS DOMMARTINOIS";"Associations";69380;"DOMMARTIN";"69";"RHONE";"AUVERGNE RHONE ALPES";NA;"1";"1995-09-06";"9220";"TRUE";"FALSE"
95;779490655;"ASSO FAMILIALE DE GESTION DE VALLON-BONNEVAUX ASSO RESPONSABLE DU LYCEE DE LENSEIGNEMENT AGRICOLE PRIVE VALLON-BONNEVAUX";"Associations";38440;"SAINT-JEAN-DE-BOURNAY";"38";"ISERE";"AUVERGNE RHONE ALPES";"PME";"2";"1900-01-01";"9220";"TRUE";"FALSE"
96;798901641;"TANGOBAL";"Associations";13090;"AIX-EN-PROVENCE";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"2009-07-13";"9220";"TRUE";"FALSE"
97;16650657;"SACOOP DIJON-RESIDENCE DU CHAMBERTIN";"Cooperative";21000;"DIJON";"21";"COTE D OR";"BOURGOGNE FRANCHE COMTE";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found"
98;341436855;"ASS DEVELOPPEMENT DE L'ERGONOMIE";"Associations";69007;"LYON 7EME";"69";"RHONE";"AUVERGNE RHONE ALPES";"PME";"1";"1987-04-01";"9220";"TRUE";"FALSE"
99;379790348;"ASSOCIATION FOYER LAIQUE ECOLE VENASQUE";"Associations";84210;"VENASQUE";"84";"VAUCLUSE";"PROVENCE ALPES COTE D AZUR";NA;"1";"1990-09-01";"9220";"TRUE";"FALSE"
100;397501701;"ASSOCIATION ARIANE";"Associations";89000;"AUXERRE";"89";"YONNE";"BOURGOGNE FRANCHE COMTE";"PME";"1";"1994-05-18";"9220";"TRUE";"FALSE"
101;407701648;"ROTARY INTERNATIONAL";"Associations";69002;"LYON 2EME";"69";"RHONE";"AUVERGNE RHONE ALPES";NA;"1";"1993-07-01";"9220";"TRUE";"FALSE"
102;441982204;"ARDES PLASTIQUES";"Associations";63420;"APCHAT";"63";"PUY DE DOME";"AUVERGNE RHONE ALPES";NA;"1";"1997-10-07";"9220";"TRUE";"FALSE"
103;433993474;"ORGANIS. DE LA VIE INTERCOMMUNALE VAREZE";"Associations";38122;"MONSTEROUX-MILIEU";"38";"ISERE";"AUVERGNE RHONE ALPES";"PME";"1";"2000-06-14";"9220";"TRUE";"FALSE"
104;453257354;"LO REVISCOL MONTELENC";"Associations";26200;"MONTELIMAR";"26";"DROME";"AUVERGNE RHONE ALPES";NA;"1";"2003-04-08";"9220";"TRUE";"FALSE"
105;488028382;"VETERANS DES ESSAIS NUCLEAIRES";"Associations";69005;"LYON 5EME";"69";"RHONE";"AUVERGNE RHONE ALPES";"PME";"1";"2001-06-11";"9220";"TRUE";"FALSE"
106;490022548;"BOULE JOYEUSE MAZANAISE";"Associations";84380;"MAZAN";"84";"VAUCLUSE";"PROVENCE ALPES COTE D AZUR";NA;"1";"1957-03-27";"9220";"TRUE";"FALSE"
